Type,Value,Type,Value,Type,Value
Data Source,Cold_Science_11LTAN_Finalv_1_TiNOX : TMD : ACUBESAT_FEB_NEWNEWPAYLO,Data Source,Cold_Science_11LTAN_Finalv_1_TiNOX : TMD : ACUBESAT_FEB_NEWNEWPAYLO,Data Source,Cold_Science_11LTAN_Finalv_1_TiNOX : TMD : ACUBESAT_FEB_NEWNEWPAYLO
Element,18822,Element,23916,Element,680008
,,,,,
,,,,,
Time[s],Temperature,Time[s],Temperature,Time[s],Temperature
1800.0,-12.685395774930486,1800.0,10.219906983870272,1800.0,-16.333248227519327
1810.0,-12.686228082619953,1810.0,10.336583888560208,1810.0,-16.25357578057742
1820.0,-12.687040236371688,1820.0,10.453092183126623,1820.0,-16.16695100864418
1830.0,-12.6878359838603,1830.0,10.569425085693274,1830.0,-16.08321073156102
1840.0,-12.688616145943536,1840.0,10.685584136390803,1840.0,-16.001652138050886
1850.0,-12.689379801880543,1850.0,10.801570126768528,1850.0,-15.919483105321149
1860.0,-12.690127285012869,1860.0,10.917378506987129,1860.0,-15.837144621745338
1870.0,-12.690858933001095,1870.0,11.033006499819042,1870.0,-15.754935431280847
1880.0,-12.691574773768346,1880.0,11.14845267899041,1880.0,-15.673057755663143
1890.0,-12.692274572189959,1890.0,11.263716552948297,1890.0,-15.591599196598947
1900.0,-12.692957976820148,1900.0,11.37879823564788,1900.0,-15.510563626551784
1910.0,-12.69362454719344,1910.0,11.493698247681731,1910.0,-15.429901333855785
1920.0,-12.694273783513209,1920.0,11.608417372624862,1920.0,-15.349529596092369
1930.0,-12.6949052009425,1930.0,11.722956550138644,1930.0,-15.269352170103964
1940.0,-12.6955183573393,1940.0,11.837316809112142,1940.0,-15.189277546890239
1950.0,-12.696112844135644,1950.0,11.951499227324252,1950.0,-15.109228622966077
1960.0,-12.696688307407255,1960.0,12.065504896641816,1960.0,-15.029147238585175
1970.0,-12.697244462734096,1970.0,12.179334897632508,1970.0,-14.948997597456477
1980.0,-12.69778108863583,1980.0,12.292990286508664,1980.0,-14.86876823409279
1990.0,-12.698298021288315,1990.0,12.406472201574148,1990.0,-14.788405931063338
2000.0,-12.698792078272099,2000.0,12.519799466114197,2000.0,-14.702229193913814
2010.0,-12.699267000126724,2010.0,12.632965403421435,2010.0,-14.619854436238352
2020.0,-12.699723741068048,2020.0,12.745971406995503,2020.0,-14.540342639481942
2030.0,-12.700161347973461,2030.0,12.858818162896215,2030.0,-14.460814796097127
2040.0,-12.700580177306637,2040.0,12.971501165995573,2040.0,-14.38159939884667
2050.0,-12.700980719413138,2050.0,13.084017597775441,2050.0,-14.302917223091448
2060.0,-12.701363591220728,2060.0,13.196365790353305,2060.0,-14.224973594714323
2070.0,-12.70172950481852,2070.0,13.308544858249599,2070.0,-14.147981149936744
2080.0,-12.702079259734745,2080.0,13.420554435480978,2080.0,-14.072162877899824
2090.0,-12.702413743803588,2090.0,13.53239449119686,2090.0,-13.99775138136142
2100.0,-12.702733914313013,2100.0,13.644065210700946,2100.0,-13.924987397975203
2110.0,-12.703040756006876,2110.0,13.755566927165054,2110.0,-13.854112056456215
2120.0,-12.703334937067083,2120.0,13.866900202316794,2120.0,-13.785320589698516
2130.0,-12.70361683930792,2130.0,13.978065776411407,2130.0,-13.71870674688067
2140.0,-12.70388663725103,2140.0,14.089064510753378,2140.0,-13.654279961238668
